Experiment	Sweeper	
Saved Date	28.05.2025 16:24:32	
User		
Date		
Start time	28.05.2025 16:07:32	
Sweep channel: Name	- None (Time) -	
Sweep channel: Start (V)	-Inf	
Sweep channel: Stop (V)	Inf	
Sweep channel: Points	20000	
Sweep channel: Max slew rate (V/s)	0E+0	
Sweep channel: Initial settling time (s)	20E+0	
Sweep channel: End settling time (s)	20E+0	
Sweep channel: Backward sweep	FALSE	
Sweep channel: Number of sweeps	1	
Sweep channel: Reset	FALSE	
Sweep Type	1D-Only SweepCh	
Acquire channels	Input 2 (V)	
Filter type	None	
Order		
Cutoff frq		
Comment01	b_P1_peak1_1741_3_top	

[DATA]
Points	Input 2 (V)
5.1700000E+2	-1.0965235E-1
5.1800000E+2	-1.1308111E-1
5.1900000E+2	-1.1321497E-1
5.2000000E+2	-1.1278343E-1
5.2100000E+2	-1.1058925E-1
5.2200000E+2	-1.1638149E-1
5.2300000E+2	-1.1591905E-1
5.2400000E+2	-1.1342040E-1
5.2500000E+2	-1.1575346E-1
5.2600000E+2	-1.0497750E-1
5.2700000E+2	-1.1256633E-1
5.2800000E+2	-1.0645407E-1
5.2900000E+2	-1.0607212E-1
5.3000000E+2	-9.8802388E-2
5.3100000E+2	-1.0846049E-1
5.3200000E+2	-1.0854633E-1
5.3300000E+2	-1.1352795E-1
5.3400000E+2	-1.1513720E-1
5.3500000E+2	-1.0797946E-1
5.3600000E+2	-1.0908485E-1
5.3700000E+2	-1.0973766E-1
5.3800000E+2	-1.1267407E-1
5.3900000E+2	-1.0723496E-1
5.4000000E+2	-1.1072988E-1
5.4100000E+2	-1.0924271E-1
5.4200000E+2	-1.1658791E-1
5.4300000E+2	-1.1247100E-1
5.4400000E+2	-1.1280344E-1
5.4500000E+2	-1.0839401E-1
5.4600000E+2	-1.0976037E-1
5.4700000E+2	-1.1287710E-1
5.4800000E+2	-1.0510781E-1
5.4900000E+2	-1.1191610E-1
5.5000000E+2	-1.0906374E-1
5.5100000E+2	-1.1186166E-1
5.5200000E+2	-1.0798936E-1
5.5300000E+2	-1.1465595E-1
5.5400000E+2	-1.1226580E-1
5.5500000E+2	-1.1303677E-1
5.5600000E+2	-1.0910045E-1
5.5700000E+2	-1.1002887E-1
5.5800000E+2	-1.1298780E-1
5.5900000E+2	-1.1330758E-1
5.6000000E+2	-1.1382265E-1
5.6100000E+2	-1.0767458E-1
5.6200000E+2	-1.0897025E-1
5.6300000E+2	-1.0809794E-1
5.6400000E+2	-1.1092292E-1
5.6500000E+2	-1.0624096E-1
5.6600000E+2	-1.1052692E-1
5.6700000E+2	-1.0787170E-1
5.6800000E+2	-1.0993248E-1
5.6900000E+2	-1.1006995E-1
5.7000000E+2	-1.0431594E-1
5.7100000E+2	-1.1057344E-1
5.7200000E+2	-1.0754929E-1
5.7300000E+2	-1.1157357E-1
5.7400000E+2	-1.1247653E-1
5.7500000E+2	-1.1287037E-1
5.7600000E+2	-1.0871814E-1
5.7700000E+2	-1.1532740E-1
5.7800000E+2	-1.1502378E-1
5.7900000E+2	-1.1791890E-1
